,,,
Lot #,VIN,Location,
128,4HXSC1729FC180129,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041763/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
129,4HXSC1724FC180118,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041764/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
130,4HXSC1720FC180133,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041765/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
131,4HXSC1728GC180221,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041769/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
132,4HXSC172XGC183610,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041813/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
133,4HXSC1720GC183731,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041815/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
134,4HXSC1723GC183710,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041816/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
135,4HXSC1725GC183725,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041818/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
136,4HXSC1725GC183756,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041820/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
137,4HXSC1721GC183737,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041825/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
